Gerando array de quaternions.... pronto!
Gerando array de vetores.... pronto!

Iniciando calculo de 4356 multiplicacoes de quaternion por vetor usando operador * ....(729.65, -438.1, 735.112)
(675.31, -885.37, 64.3047)
(-718.808, -128.55, -506.926)
(533.719, 82.4204, -1142.79)
(-136.968, -483.645, 1280.22)
(8.36684, 1065.06, 739.036)
(-107.259, -202.465, -495.041)
(345.341, -888.578, 57.7202)
(-122.358, -550.228, -429.869)
(-465.516, 921.82, -228.364)
(-355.085, 537.154, 386.332)
(557.78, -250.815, 704.485)
(380.033, 808.376, 275.935)
(-1069.16, -532.049, -283.773)
(133.991, -756.999, 191.482)
(888.192, -933.497, 588.131)
(806.679, 625.649, 430.472)
(-325.554, 725.976, 858.291)
(65.6819, 600.043, 168.32)
(419.484, 566.969, 222.598)
(-144.165, 963.821, 883.811)
(421.338, -386.298, -23.176)
(711.113, -437.53, 354.6)
(-649.667, 365.19, 651.574)
(166.494, -568.433, 375.298)
(-123.034, 1075.77, -384.531)
(-296.204, -45.7739, -162.528)
(136.961, -549.609, -841.862)
(512.215, -269.05, 450.849)
(-322.211, -126.095, -101.113)
(723.453, -55.9917, -65.2747)
(-687.927, -155.306, -481.212)
(278.292, -615.536, -362.12)
(124.828, -939.401, 453.771)
(357.732, 318.002, -599.172)
(-315.712, 651.508, 1204.16)
(662.018, -153.43, 187.482)
(758.923, -197.696, 743.993)
(942.329, 231.926, 376.578)
(262.193, -1199.62, 4.66546)
(-914.435, -454.549, 65.9983)
(406.997, -127.9, -972.547)
(518.713, 290.922, -363.55)
(-278.986, 884.991, 519.45)
(59.9568, 8.40801, 451.213)
(-1243.05, -454.359, 79.7646)
(-97.553, -431.547, 514.35)
(-385.378, -691.193, -157.876)
(-215.036, 809.99, -651.045)
(-608.826, 509.822, 235.03)
(701.846, 14.3869, -813.498)
(-443.917, 969.121, -836.761)
(-671.655, 381.8, 500.02)
(-770.743, -390.385, -640.293)
(-336.715, -1101.74, -703.985)
(-619.349, 538.569, -572.368)
(212.802, 602.458, 701.257)
(1278.39, -292.944, 480.124)
(-504.342, -78.474, -343.072)
(-709.547, 444.044, 373.452)
(-517.462, 199.31, 1352.98)
(-176.407, 284.862, 579.342)
(947.236, -232.614, -218.751)
(-172.242, 393.744, -278.575)
(207.816, -410.623, -488.333)
(514.511, 945.593, 668.482)
(-110.621, -1049.78, -387.854)
(557.135, -694.322, -671.995)
(113.817, 860.232, -192.954)
(1160.86, 167.249, 471.228)
(-953.668, -615.709, -776.575)
(-946.484, -288.559, 837.558)
(419.281, 332.103, -107.114)
(406.485, -413.772, -758.766)
(472.053, 273.847, -452.419)
(-335.102, 608.952, 797.177)
(-659.504, 149.284, 326.559)
(-228.38, -869.468, -249.389)
(-307.666, -381.698, 796.043)
(-103.922, 994.03, -712.612)
(153.766, -293.447, -719.661)
(246.188, -1156.68, -779.538)
(-171.343, -841.561, 699.922)
(-1092.49, -106.635, 405.943)
(-301.571, -82.0059, 543.164)
(-166.73, -411.726, 591.315)
(-1104.41, -247.844, 670.596)
(345.249, -382.218, -249.002)
(191.235, -831.925, -306.896)
(-960.449, 238.008, 29.4665)
(-42.3161, -398.764, -575.223)
(-94.6013, 420.114, 1065.29)
(6.67996, 330.594, -83.1299)
(931.88, 274.861, -292.595)
(-36.9214, -698.279, -221.496)
(-29.7282, 311.431, -179.082)
(415.936, -579.324, 148.868)
(116.22, 817.812, -215.88)
(628.683, -105.78, -425.476)
(-5.50171, -444.178, -952.176)
(556.278, 50.8991, 525.422)
(-1346.13, -306.491, 261.05)
(211.915, -672.176, -15.1703)
(-182.198, -1054.01, -156.362)
(65.4233, -968.067, 377.028)
(511.5, -348.16, -1060.67)
(-341.248, 686.175, -678.142)
(1029.91, 161.343, 202.723)
(449.229, -212.473, 488.791)
(-845.26, 50.892, 643.285)
(-342.823, -289.311, -77.6549)
(-508.985, 955.125, -765.927)
(-326.169, -236.397, -545.927)
(170.526, 335.687, -713.739)
(165.853, 611.334, 851.438)
(-647.785, 440.142, 269.214)
(994.015, -156.185, 376.98)
(156.824, 919.053, 983.451)
(-852.508, 338.767, 73.3348)
(283.283, 947.423, -422.564)
(773.486, 542.126, -964.687)
(-2.5343, 881.063, 474.317)
(-667.718, -488.647, 464.091)
(311.658, -1360.41, -52.603)
(65.7444, 598.095, -127.192)
(-787.406, 444.382, 150.385)
(-1416.55, -263.196, -249.341)
(-650.007, -129.836, 92.3973)
(705.341, -704.327, 75.0587)
(17.4246, 333.953, 387.915)
(631.544, 41.9358, -222.848)
(-609.016, -689.027, 871.823)
(718.807, 727.427, -467.841)
(835.378, -24.9476, -738.633)
(-108.931, -759.024, 449.668)
(-557.391, -695.009, -896.602)
(983.334, 809.642, 518.828)
(-646.236, 1034.6, 438.835)
(-30.0682, -531.823, -117.569)
(831.696, -164.73, -439.668)
(311.94, -621.76, -136.446)
(-936.127, -11.3756, 492.081)
(-324.2, 388.107, 555.104)
(534.482, 706.954, -291.325)
(-608.171, 700.833, -114.007)
(347.224, -875.884, 786.748)
(767.606, -87.5382, -175.456)
(1105.44, 474.058, -747.973)
(-372.039, 928.099, -477.173)
(-292.564, 864.137, 733.05)
(-469.521, 402.819, 99.9182)
(-412.37, 577.207, -209.174)
(-494.53, 1052.47, 615.305)
(344.009, -2.05932, -457.103)
(555.262, 406.228, -591.2)
(-58.65, 420.091, 894.463)
(676.212, 151.852, -106.598)
(-1138.18, 58.8249, 146.205)
(-31.5546, -271.674, 203.581)
(138.05, -856.851, -525.65)
(441.913, 472.095, -346.203)
(67.0186, -263.276, 236.935)
(30.9244, 215.764, -695.176)
(-73.3947, -735.941, 426.534)
(404.521, -430.12, -488.693)
(1044.58, 52.9913, -100.046)
(-539.697, -224.24, -496.536)
(-77.1548, 1124.01, 839.524)
(226.437, 360.97, -561.592)
(505.674, 841.695, -452.123)
(-37.7219, 782.535, -685.42)
(1089.16, -365.128, -433.917)
(428.612, -494.227, 786.889)
(-295.912, -688.885, -752.147)
(-412.567, 24.3749, -561.304)
(-580.731, 666.279, 591.35)
(186.156, 399.791, 113.014)
(430.582, -615.327, 1092.68)
(608.987, 214.256, 208.648)
(552.722, -559.209, 181.582)
(-1013.06, -303.349, 88.6741)
(-367.133, 150.119, 726.983)
(-353.086, -382.436, -940.025)
(-1238.96, -485.916, 255.532)
(-138.761, 292.753, 861.367)
(70.0464, -993.622, 405.252)
(690.636, -1152.63, -131.449)
(-738.712, -508.908, 443.364)
(-241.987, 902.82, 162.358)
